url,type
br-icloud.com.br,phishing
mp3raid.com/music/krizz_kaliko.html,benign
bopsecrets.org/rexroth/cr/1.htm,benign
http://www.garage-pirenne.be/index.php?option=com_content&view=article&id=70&vsig70_0=15,defacement
http://adventure-nicaragua.net/index.php?option=com_mailto&tmpl=component&link=aHR0cDovL2FkdmVudHVyZS1uaWNhcmFndWEubmV0L2luZGV4LnBocD9vcHRpb249Y29tX2NvbnRlbnQmdmlldz1hcnRpY2xlJmlkPTQ3OmFib3V0JmNhdGlkPTM2OmRlbW8tYXJ0aWNsZXMmSXRlbWlkPTU0,defacement
http://buzzfil.net/m/show-art/ils-etaient-loin-de-s-imaginer-que-le-hibou-allait-faire-ceci-quand-ils-filmaient-2.html,benign
espn.go.com/nba/player/_/id/3457/brandon-rush,benign
yourbittorrent.com/?q=anthony-hamilton-soulife,benign
http://www.pashminaonline.com/pure-pashminas,defacement
allmusic.com/album/crazy-from-the-heat-r16990,benign
corporationwiki.com/Ohio/Columbus/frank-s-benson-P3333917.aspx,benign
youtube.com/watch?v=MMU8nfsKPTQ,benign
aol.sportingnews.com/ncaa-basketball/feed/2011-09/top-50/story/no-9-baylor-bears-glance,benign
http://portal.dddgaming.com/docs/rules/15027/cn/game_cn.html?amluMjAxNQ%3D%3D,malware
zimbio.com/Simon+Rix,benign
http://auto.ru/cars/bmw/7er/all/?search%5Bstate%5D=1&search%5Bperiod%5D=0&search%5Bcustom%5D=1&search%5Bsection_id%5D=0&search%5Bmark%5D%5B0%5D=30&search%5Bmark-folder%5D%5B0%5D=30-401_2874,benign
http://mmc-leipzig.com/index.php,defacement
lyricsmode.com/lyrics/b/bill_champlin/,benign
youtube.com/watch?v=I2cSvdnFySc,benign
hockeydb.com/ihdb/stats/leagues/seasons/teams/0007902010.html,benign
maxalbums.com/index.php?artist=Eminem+Hailies+Revenge&album=,benign
bishop-accountability.org/news3/2006_04_02_TraverseCityRecordEagle_ReverendPatrick_Patrick_Barrett_1.htm,benign
http://www.bessels.com/projecten/kantoren/0863-massastudie-pieters-kaashandel-almere.html,defacement
hockey-reference.com/players/m/mckayra02.html,benign
http://www.sanmarinosposi.com/index.php?option=com_content&view=article&id=109:studio-immagine&catid=49:servizi-per-la-cerimonia&Itemid=71,defacement
mentalfloss.com/blogs/archives/29393,benign
http://www.escueladeeconomiaynegocios.com/index.php?option=com_zoo&view=category&layout=category&Itemid=143,defacement
myspace.com/thepaintedbird,benign
http://concept-textile.com.ua/sejeal.jpg,defacement
"http://pembrokeshire-farm-cottages.co.uk/component/option,com_rentalotplus/Itemid,11/call_type,1/controller,enquiry/currency,GBP/datefrom,2012-04-21/dateto,2012-04-28/task,display/unit_id,1/index.html",defacement
facebook.com/leblanc.lucie,benign
http://www.einsteininrastatt.de/index.php/component/user/register,defacement
http://www.lgk-luzern.ch/index.php?option=com_content&view=article&id=51:unbezahlter-urlaub&catid=4&Itemid=46,defacement
livingelectro.com/search/Wake+Up+Call/1,benign
2camels.com/camel-wrestling-championship.php,benign
discogs.com/label/Constellation+Records,benign
http://www.prosenior.ch/index.php?view=weblink&catid=2:sites-dedies-aux-seniors&id=98:spes-lavaux&option=com_weblinks&Itemid=6,defacement
facebook.com/note.php?note_id=254162211272625,benign
facebook.com/Amfirst?v=wall,benign
http://www.vakantiehuislereve.nl/index.php?option=com_content&view=article&id=52&Itemid=58,defacement
192.com/atoz/people/sturgeon/craig/,benign
group10intl.com,phishing
http://variety.com/2015/film/news/cannes-opening-natalie-portman-julianne-moore-1201494940/,benign
geology.com/state-map/new-jersey.shtml,benign
http://mashable.com/category/small-business/2015/04/16/strategies-for-running-fast-growing-company,benign
http://tinnhanh360.net/ngat-ngay-voi-bo-anh-me-nguc-tran-cho-con-bu-giua-thien-nhien.html,benign
http://www.plasmatreatment.co.uk/templates/ja_purity/images/header/index.html,defacement
music.yahoo.com/joel-crawford/,benign
walkoffwalk.com/2009/03/ichiro-has-no-patience-for-you.html,benign
medford.craigslist.org/rvs/2710712723.html,benign
pbase.com/world/northern_ireland,benign
http://tunein.com/radio/Vibration-Country-s117836/15480783/ca-pub-1542925551861702/Station,benign
genforum.genealogy.com/cyr/page8.html,benign
http://comies.nl/index.php/testimonials?el_mcal_month=3&el_mcal_year=2013,defacement
toddswift.co.uk/,benign
http://www.hostinglelo.com/log/account/Apple/Apple%20Login/Apple/,phishing
en.wikipedia.org/wiki/Bob_Delaney_(basketball_referee),benign
quiz.thefullwiki.org/Amy_Winehouse,benign
http://otomoto.pl/osobowe/jeep/grand-cherokee/JOcK7gzdoyrcIT2176iLzhCz8UoPOGcT6Y1ax8FNTPf.l7,benign
http://putlocker.is/watch-lego-dc-comics-batman-be-leaguered-online-free-putlocker.html,benign
http://www.emyvalecottage.com/index.php?option=com_mailto&tmpl=component&link=eb2f0566582fd91672c2c6cd12b4286c5b713c04,defacement
lecoeurduquartier.wordpress.com/,benign
http://theexpertautorepair.com/brake-repair-specials/year.listevents/2013/02/03/-.html,defacement
dogpro.com/,benign
alexa.com/siteinfo/tou.tv,benign
facebook.com/brigitte.mann,benign
jgs-montreal.org/,benign
business-standard.com/india/news/16-million-new-jobs-to-be-created-in-2011-ma-foi-randstad-survey/430597/,benign
http://buzzfil.net/m/show-art/decouvrez-ce-qui-arrive-si-vous-placez-un-glacon-sur-ce-point-precis-de-votre-tete-9.html,benign
popularnetjobs.com/,benign
il.linkedin.com/pub/dir/+/Engel,benign
fhautism.com/,benign
classmates.com/directory/public/memberprofile/list.htm?regId=8698263775,benign
aolnews.com/2010/03/15/ncaa-2010-womens-basketball-tournament-selections-and-pairings/,benign
http://www.sklep-splawik.pl/index.php?option=com_phocagallery&view=detail&catid=1:galeria-sklepu&id=93:yki&tmpl=component&Itemid=16,defacement
cduniverse.com/70's-collection-shes-a-lady-lyrics-3293408.htm,benign
mexico-facts.com/Chihuahua/Saucillo/Loma-Chica/,benign
http://koncentraltda.com/index.php?option=com_content&view=article&id=24&Itemid=21,defacement
scribd.com/doc/43896252/First-Amazon-Studios-Movie-Pitch-to-WB,benign
http://www.cornwalldefencesolicitors.co.uk/index.php?option=com_content&view=article&id=1&Itemid=2,defacement
myspace.com/dannyshay,benign
http://www.designreisende.de/index.php?option=com_contact&view=contact&id=2&Itemid=84,defacement
http://www.051661.com/uploadfile/2013/0709/20130709174318163.jpg,malware
cjmarketing.com/Contacts/,benign
baseball-almanac.com/mgrtmkc9.shtml,benign
http://www.e-holler.at/sejeal.jpg,defacement
eng.tekkenpedia.com/wiki/Tekken_(2010_film),benign
construction-virginia.blogspot.com/,benign
reedmusic.com/composers/barrett-john,benign
http://www.afrikaansealbinos.nl/index.php/nl/sitemap.html,defacement
restomontreal.ca/restaurants/index.php?section=viewresto&resto_id=935&lang=en,benign
westcoastwords.com/underwater-robotics.html,benign
law.justia.com/cases/federal/appellate-courts/F2/711/1117/302649/,benign
myspace.com/rayrayg04,benign
http://www.americanbussales.net/school-buses/36-to-72-passengers/2008-international-ce-72-passenger-2/index.html,defacement
en.wikipedia.org/wiki/CFKM-DT,benign
myspace.com/trapt,benign
http://www.bissfest-marburg.de/catering-marburg/buffets-catering.html,defacement
aerosim-first-step-for-fs2002.com-about.com/,benign
http://www.mnemonicmultimedia.com/website-hosting/web-hosting,defacement
en.wikipedia.org/wiki/1918_in_film,benign
ket.org/trips/aviation/vanmeter.htm,benign
facebook.com/pages/Terence-Blanchard/87113100667,benign
baseballcardshopper.com/Topps_Bowman_Fleer_Donruss/baseball_cards_player.aspx?player=Dick%20Howser,benign
hockeydb.com/ihdb/draft/nhl1982e.html,benign
canadabodybuilding.com/showthread.php?13961-Paul-Dillett-Canadian-IFBB-Pro,benign
itunes.apple.com/us/album/constance-demby-live-in-tokyo/id299971033,benign
fabpedigree.com/s009/f445246.htm,benign
answers.com/topic/hank-williams-the-show-he-never-gave,benign
http://emgn.com/entertainment/can-you-pick-the-10-most-recognizable-songs-of-all-time/,benign
courier-journal.com/article/20110706/ZONE04/307060015/Westport-Middle-students-community-benefit-from-library-school,benign
viagogo.com/,benign
robic.biz/,benign
abclocal.go.com/kgo/video,benign
sun-associates.com/evaluation.html,benign
gary-sinise.com/2011/07/actormusician-gary-sinise-pays-visit-to-wounded-staten-island-vet-brendan-marrocco/,benign
freepages.genealogy.rootsweb.ancestry.com/~lowend/ogilvie/pafn03.htm,benign
sweetlovecreates.bigcartel.com/,benign
http://www.schighway.co.kr/homepage/contents/sc_sub3/festival_list.asp,defacement
